                Time     Total_Variation            L2_Error
          3.49375000          4.05837233          0.14294386
          3.50000000          4.07114333          0.13616795
          3.50625000          4.06066850          0.14284301
          3.51250000          4.07193838          0.13604391
          3.51875000          4.06287454          0.14271527
          3.52500000          4.07232942          0.13590476
          3.53125000          4.06490456          0.14258650
          3.53750000          4.07229198          0.13577891
          3.54375000          4.06664556          0.14248374
          3.55000000          4.07215354          0.13569322
          3.55625000          4.06834557          0.14242957
          3.56250000          4.07240822          0.13566666
          3.56875000          4.07021035          0.14243615
          3.57500000          4.07239415          0.13570461
          3.58125000          4.07281660          0.14250083
          3.58750000          4.07307230          0.13579594
          3.59375000          4.07600639          0.14260548
          3.60000000          4.07199386          0.13591476
          3.60625000          4.07735449          0.14272064
          3.61250000          4.07474788          0.13602749
          3.61875000          4.08239243          0.14281436
          3.62500000          4.07175179          0.13610359
          3.63125000          4.08356794          0.14286315
          3.63750000          4.06222334          0.13612672
          3.64375000          4.06399288          0.14286103
          3.65000000          4.05718691          0.13610159
          3.65625000          4.06601606          0.14282280
          3.66250000          4.05868787          0.13605320
          3.66875000          4.06771264          0.14277905
          3.67500000          4.06065292          0.13601761
          3.68125000          4.06915954          0.14276438
          3.68750000          4.06223929          0.13602756
          3.69375000          4.07044117          0.14280330
          3.70000000          4.06449922          0.13609917
          3.70625000          4.06946635          0.14290060
          3.71250000          4.06587730          0.13622616
          3.71875000          4.07599640          0.14304071
          3.72500000          4.07545156          0.13638457
          3.73125000          4.06987260          0.14319665
          3.73750000          4.08142615          0.13654529
          3.74375000          4.08965968          0.14334324
          3.75000000          4.09074057          0.13668741
          3.75625000          4.08973148          0.14346751
          3.76250000          4.09307512          0.13680519
          3.76875000          4.09015762          0.14357081
          3.77500000          4.09611604          0.13690549
          3.78125000          4.09012010          0.14366264
          3.78750000          4.09822047          0.13699878
          3.79375000          4.09117475          0.14375122
          3.80000000          4.10097477          0.13709030
          3.80625000          4.09060673          0.14383772
          3.81250000          4.10250058          0.13717756
          3.81875000          4.09149910          0.14391743
          3.82500000          4.10590172          0.13725496
          3.83125000          4.09464875          0.14398615
          3.83750000          4.09421829          0.13732093
          3.84375000          4.07618289          0.14404601
          3.85000000          4.08718313          0.13738161
          3.85625000          4.07688999          0.14410590
          3.86250000          4.08814035          0.13744803
          3.86875000          4.07791357          0.14417625
          3.87500000          4.08793408          0.13752927
          3.88125000          4.07772716          0.14426256
          3.88750000          4.09199195          0.13762700
          3.89375000          4.08481040          0.14436255
          3.90000000          4.10178371          0.13773545
          3.90625000          4.09019961          0.14446865
          3.91250000          4.10879355          0.13784599
          3.91875000          4.09804866          0.14457327
          3.92500000          4.10908835          0.13795230
          3.93125000          4.10042737          0.14467241
          3.93750000          4.10869625          0.13805232
          3.94375000          4.10199124          0.14476575
          3.95000000          4.10980158          0.13814674
          3.95625000          4.10630865          0.14485427
          3.96250000          4.10751190          0.13823648
          3.96875000          4.10764346          0.14493853
          3.97500000          4.11260809          0.13832183
          3.98125000          4.11618307          0.14501885
          3.98750000          4.11207905          0.13840356
          3.99375000          4.11152860          0.14509664
          4.00000000          4.10293326          0.13848398
          4.00625000          4.10721091          0.14517478
          4.01250000          4.09961473          0.13856646
          4.01875000          4.10723060          0.14525635
          4.02500000          4.10031290          0.13865357
          4.03125000          4.11543906          0.14534282
          4.03750000          4.10909325          0.13874562
          4.04375000          4.12466937          0.14543331
          4.05000000          4.11236096          0.13884074
          4.05625000          4.12603796          0.14552551
          4.06250000          4.11014732          0.13893631
          4.06875000          4.12615417          0.14561711
          4.07500000          4.10998391          0.13903037
          4.08125000          4.12707795          0.14570672
          4.08750000          4.11210539          0.13912198
          4.09375000          4.12932497          0.14579391
          4.10000000          4.11378869          0.13921105
          4.10625000          4.13312430          0.14587882
          4.11250000          4.11915360          0.13929795
          4.11875000          4.13744191          0.14596201
          4.12500000          4.11972461          0.13938348
          4.13125000          4.13563773          0.14604444
          4.13750000          4.11796711          0.13946880
          4.14375000          4.13432913          0.14612728
          4.15000000          4.11856038          0.13955506
          4.15625000          4.13456518          0.14621145
          4.16250000          4.12308992          0.13964292
          4.16875000          4.13934270          0.14629718
          4.17500000          4.12750325          0.13973225
          4.18125000          4.14153830          0.14638404
          4.18750000          4.12909753          0.13982231
          4.19375000          4.14216556          0.14647121
          4.20000000          4.12802246          0.13991226
          4.20625000          4.14223890          0.14655793
          4.21250000          4.13030059          0.14000144
          4.21875000          4.14482180          0.14664377
          4.22500000          4.13271338          0.14008959
          4.23125000          4.14656477          0.14672865
          4.23750000          4.13412522          0.14017681
          4.24375000          4.14797543          0.14681280
          4.25000000          4.13575823          0.14026345
          4.25625000          4.14802643          0.14689664
          4.26250000          4.13705963          0.14035001
          4.26875000          4.14776827          0.14698066
          4.27500000          4.13882387          0.14043697
          4.28125000          4.14804332          0.14706525
          4.28750000          4.14138076          0.14052463
          4.29375000          4.14903162          0.14715057
          4.30000000          4.14389416          0.14061305
          4.30625000          4.14923132          0.14723658
          4.31250000          4.14593632          0.14070212
          4.31875000          4.14961739          0.14732317
